OID,ID_source,X_source,Y_source,ID_end,X_end,Y_end
92,1,215379.8541,9280685.623,93,210844.2539,9319215.868
93,1,215379.8541,9280685.623,94,211954.5057,9319348.685
94,1,215379.8541,9280685.623,95,211028.305,9320653.372
95,1,215379.8541,9280685.623,96,211924.2638,9320704.608
96,1,215379.8541,9280685.623,97,211236.2975,9321940.052
97,1,215379.8541,9280685.623,98,211903.2427,9322311.986
98,1,215379.8541,9280685.623,99,212989.4479,9322805.754
99,1,215379.8541,9280685.623,100,212217.2889,9323724.712
100,1,215379.8541,9280685.623,101,213619.7601,9323859.218
101,1,215379.8541,9280685.623,102,214916.8822,9324213.013
102,1,215379.8541,9280685.623,103,216478.0363,9324100.697
103,1,215379.8541,9280685.623,104,212580.3473,9325052.909
104,1,215379.8541,9280685.623,105,213479.6808,9325425.55
105,1,215379.8541,9280685.623,106,215210.3882,9325319.869
106,1,215379.8541,9280685.623,107,216275.3863,9325343.034
107,1,215379.8541,9280685.623,108,212840.5247,9326071.444
108,1,215379.8541,9280685.623,109,213697.556,9326418.019
109,1,215379.8541,9280685.623,110,215163.1994,9326519.001
110,1,215379.8541,9280685.623,111,216321.108,9326680.555
111,1,215379.8541,9280685.623,112,216491.3947,9328222.873
112,1,215379.8541,9280685.623,113,218278.483,9328720.51
113,1,215379.8541,9280685.623,114,216417.0588,9329913.647
114,1,215379.8541,9280685.623,115,218034.6445,9329645.129
115,1,215379.8541,9280685.623,116,216688.391,9331236.678
116,1,215379.8541,9280685.623,117,217683.2193,9330807.337
117,1,215379.8541,9280685.623,118,215800.3107,9333083.425
118,1,215379.8541,9280685.623,119,216539.9791,9332752.272
119,1,215379.8541,9280685.623,120,217407.245,9333055.124
120,1,215379.8541,9280685.623,121,215777.8205,9333679.116
121,1,215379.8541,9280685.623,122,216764.9904,9334155.649
122,1,215379.8541,9280685.623,123,217602.2987,9334517.528
123,1,215379.8541,9280685.623,124,216992.2472,9335504.923
124,1,215379.8541,9280685.623,125,217543.6239,9335431.498
125,1,215379.8541,9280685.623,126,217178.5047,9337419.822
126,1,215379.8541,9280685.623,127,217481.5684,9337121.481
127,1,215379.8541,9280685.623,128,217163.8736,9338539.357
128,1,215379.8541,9280685.623,129,217478.5886,9338455.483
129,1,215379.8541,9280685.623,130,216445.1932,9340410.566
130,1,215379.8541,9280685.623,131,216353.9627,9341628.387
131,1,215379.8541,9280685.623,132,216482.6337,9343300.463
132,1,215379.8541,9280685.623,133,216508.8459,9344803.278
133,1,215379.8541,9280685.623,134,216912.7906,9346054.356
134,1,215379.8541,9280685.623,135,217563.016,9346322.822
135,1,215379.8541,9280685.623,136,217012.1252,9347972.89
136,1,215379.8541,9280685.623,137,217748.8914,9347173.116
137,1,215379.8541,9280685.623,138,216708.3335,9349365.882
138,1,215379.8541,9280685.623,139,217729.0699,9349924.41
139,1,215379.8541,9280685.623,140,216579.8161,9350745.816
140,1,215379.8541,9280685.623,141,217756.0426,9350152.92
141,1,215379.8541,9280685.623,142,216591.2771,9352243.605
142,1,215379.8541,9280685.623,143,217414.2603,9351944.945
143,1,215379.8541,9280685.623,144,216707.6069,9353706.346
144,1,215379.8541,9280685.623,145,217482.6398,9354073.031
145,1,215379.8541,9280685.623,146,216874.0269,9355212.578
146,1,215379.8541,9280685.623,147,217700.4539,9355364.915
147,1,215379.8541,9280685.623,148,217002.1986,9356682.844
148,1,215379.8541,9280685.623,149,217782.7776,9356768.42
149,1,215379.8541,9280685.623,150,217224.284,9358047.908
150,1,215379.8541,9280685.623,151,217925.5096,9358306.571
151,1,215379.8541,9280685.623,152,218304.2594,9359625.25
152,1,215379.8541,9280685.623,153,219109.887,9360154.904
153,1,215379.8541,9280685.623,154,218375.084,9360533.602
154,1,215379.8541,9280685.623,155,219679.8068,9360899.379
155,1,215379.8541,9280685.623,156,220784.1132,9361728.057
156,1,215379.8541,9280685.623,157,220224.8136,9363403.728
157,1,215379.8541,9280685.623,158,221252.8252,9362932.585
158,1,215379.8541,9280685.623,159,220130.9102,9364129.854
159,1,215379.8541,9280685.623,160,220676.5068,9364823.054
160,1,215379.8541,9280685.623,161,220965.2118,9365053.462
161,2,216084.5743,9280696.494,1,215379.8541,9280685.623
162,2,216084.5743,9280696.494,2,216084.5743,9280696.494
163,2,216084.5743,9280696.494,3,220377.8235,9280982.039
164,2,216084.5743,9280696.494,4,221083.1951,9280499.051
165,2,216084.5743,9280696.494,5,214368.1239,9281603.483
166,2,216084.5743,9280696.494,6,215109.0149,9281711.749
167,2,216084.5743,9280696.494,7,216024.5784,9281640.556
168,2,216084.5743,9280696.494,8,220356.0093,9281300.749
169,2,216084.5743,9280696.494,9,220681.8789,9281759.772
170,2,216084.5743,9280696.494,10,214333.0551,9283540.984
171,2,216084.5743,9280696.494,11,214718.478,9283341.916
172,2,216084.5743,9280696.494,12,216161.871,9283310.444
173,2,216084.5743,9280696.494,13,220768.0356,9283171.672
174,2,216084.5743,9280696.494,14,214236.6937,9284873.12
175,2,216084.5743,9280696.494,15,215062.0103,9284821.394
176,2,216084.5743,9280696.494,16,216175.7091,9285024.221
177,2,216084.5743,9280696.494,17,220341.6909,9285042.565
178,2,216084.5743,9280696.494,18,220559.5837,9284707.915
179,2,216084.5743,9280696.494,19,214242.5176,9285951.152
180,2,216084.5743,9280696.494,20,215126.4992,9286204.305
181,2,216084.5743,9280696.494,21,216088.4348,9285959.628
182,2,216084.5743,9280696.494,22,220128.1659,9286341.379
183,2,216084.5743,9280696.494,23,220529.315,9286136.707
184,2,216084.5743,9280696.494,24,215155.9601,9287033.29
185,2,216084.5743,9280696.494,25,219858.9284,9287629.6
186,2,216084.5743,9280696.494,26,220491.7896,9287209.561
187,2,216084.5743,9280696.494,27,218843.8845,9289921.288
188,2,216084.5743,9280696.494,28,219337.7198,9289278.179
189,2,216084.5743,9280696.494,29,218583.9396,9290816.8
190,2,216084.5743,9280696.494,30,218983.6024,9290473.163
191,2,216084.5743,9280696.494,31,218343.2794,9292229.389
192,2,216084.5743,9280696.494,32,219692.8646,9292231.265
193,2,216084.5743,9280696.494,33,218091.327,9293752.133
194,2,216084.5743,9280696.494,34,219556.632,9293953.206
195,2,216084.5743,9280696.494,35,220421.0432,9293014.469
196,2,216084.5743,9280696.494,36,217373.7955,9295944.515
197,2,216084.5743,9280696.494,37,218029.518,9295277.016
198,2,216084.5743,9280696.494,38,219511.5281,9295343.207
199,2,216084.5743,9280696.494,39,220396.8086,9295762.959
200,2,216084.5743,9280696.494,40,217340.2304,9296899.839
201,2,216084.5743,9280696.494,41,218056.4679,9296812.255
202,2,216084.5743,9280696.494,42,219519.6006,9297020.647
203,2,216084.5743,9280696.494,43,220408.7169,9296141.167
204,2,216084.5743,9280696.494,44,217270.2853,9298407.179
205,2,216084.5743,9280696.494,45,218184.4747,9298346.528
206,2,216084.5743,9280696.494,46,219504.7993,9298278.469
207,2,216084.5743,9280696.494,47,217175.7305,9299754.996
